Timestamp,Mean_X,Mean_Y,Num_GPS_Used
2025-05-18 10:38:14,-1.496901500379592,-2.2855706128003708,3
2025-05-18 10:38:15,-1.4846318158290328,-2.2487065705419584,3
2025-05-18 10:38:16,-1.5275757117888868,-2.217986536678198,3
2025-05-18 10:38:17,-1.4969015005697885,-2.1442584522000874,3
2025-05-18 10:38:18,-1.58278929117237,-2.131970441452714,3
2025-05-18 10:38:19,-1.9416775616216615,-3.0412834840901586,2
2025-05-18 10:38:20,-1.8649920333655683,-2.488322858013557,3
2025-05-18 10:38:21,-2.208543197286217,-2.60505900562304,3
2025-05-18 10:38:22,-2.7300047853644513,-2.562050982671854,3
2025-05-18 10:38:23,-3.276005743032337,-2.629635092157798,3
2025-05-18 10:38:24,-3.8404112262864527,-2.7648032851433744,3
2025-05-18 10:38:25,-4.32506376104788,-2.801667366988576,3
2025-05-18 10:38:26,-4.772907243179533,-2.8569634712503844,3
2025-05-18 10:38:27,-5.8434372097143665,-3.9168047815879676,2
2025-05-18 10:38:28,-5.668594206290101,-2.949123671553379,3
2025-05-18 10:38:29,-6.1716512685751574,-3.1518759613161564,3
2025-05-18 10:38:30,-6.742191594739064,-3.385348301415059,3
2025-05-18 10:38:31,-7.318866762772553,-3.3914923896430653,3
2025-05-18 10:38:32,-7.944620668317437,-3.422212520582035,3
2025-05-18 10:38:33,-8.490621626184215,-3.397636581810552,3
2025-05-18 10:38:34,-9.159319427623135,-3.3546286499260343,3
2025-05-18 10:38:35,-10.36174850154636,-4.174853809238861,2
2025-05-18 10:38:36,-10.097950286542368,-3.3976368883977073,3
2025-05-18 10:38:37,-10.613277032049334,-3.323908912983539,3
2025-05-18 10:38:38,-11.171547673800328,-3.385349106581876,3
2025-05-18 10:38:39,-11.766627368584215,-3.3853492446294755,3
2025-05-18 10:38:40,-12.398516116802371,-3.3054773115238576,3
2025-05-18 10:38:41,-12.993595811328198,-3.37920554760459,3
2025-05-18 10:38:42,-14.622396419874931,-4.4329031739979845,2
2025-05-18 10:38:43,-13.926091828597878,-3.3730618026224746,3
2025-05-18 10:38:44,-14.564115418701277,-3.446790068919899,3
2025-05-18 10:38:45,-15.159195112994128,-3.489798292413836,3
2025-05-18 10:38:46,-15.815623229849885,-3.4959425038756105,3
2025-05-18 10:38:47,-16.435242294287434,-3.5266627394609564,3
2025-05-18 10:38:48,-17.1162097802581,-3.5635270093999907,3
2025-05-18 10:38:49,-17.6806152635243,-3.532807171222514,3
2025-05-18 10:38:50,-19.499595980634133,-4.432904842662314,2
2025-05-18 10:38:51,-18.778752020340093,-3.6925517646891577,3
2025-05-18 10:38:52,-19.226595501747976,-3.9506002202603696,3
2025-05-18 10:38:53,-19.50879824364618,-4.30080871750928,3
2025-05-18 10:38:54,-19.686708668385265,-4.6387291631913685,3
2025-05-18 10:38:55,-19.78486614411541,-5.117961734908157,3
2025-05-18 10:38:56,-19.96277656733256,-5.621770369382149,3
2025-05-18 10:38:57,-20.097743096474684,-6.1624430316757115,3
2025-05-18 10:38:58,-20.769508319090185,-8.626190083651196,2
2025-05-18 10:38:59,-20.042529516505216,-7.262220249889656,3
2025-05-18 10:39:00,-20.01799014859375,-7.925772989174603,3
2025-05-18 10:39:01,-19.778731301288275,-8.552461600362312,3
2025-05-18 10:39:02,-19.557876981872074,-9.203726245374959,3
2025-05-18 10:39:03,-19.18978644929267,-9.560078502359964,3
2025-05-18 10:39:04,-18.82783075855275,-9.861134704277056,3
2025-05-18 10:39:05,-18.386122118011166,-10.131470846882678,3
2025-05-18 10:39:06,-17.410682206079798,-11.252751761879091,2
2025-05-18 10:39:07,-17.514974523758422,-10.211342633619275,3
2025-05-18 10:39:08,-17.005782620284446,-10.401806675526982,3
2025-05-18 10:39:09,-16.41683776760979,-10.512398607664283,3
2025-05-18 10:39:10,-15.760409650720979,-10.48782237062281,3
2025-05-18 10:39:11,-15.33097069470879,-10.383374115238704,3
2025-05-18 10:39:12,-13.904619879850216,-10.94862231744795,2
2025-05-18 10:39:13,-14.435283731752927,-10.493965976613746,3
2025-05-18 10:39:14,-13.748181403887934,-10.469389751445412,3
2025-05-18 10:39:15,-13.01813518013851,-10.493965581929732,3
2025-05-18 10:39:16,-12.380111589863391,-10.512397437644884,3
2025-05-18 10:39:17,-11.748222842225694,-10.444813205967117,3
2025-05-18 10:39:18,-11.06112051417565,-10.438669040705944,3
2025-05-18 10:39:19,-10.582602821019249,-10.346508834446645,3
2025-05-18 10:39:20,-9.285083692588397,-10.893325183674776,2
2025-05-18 10:39:21,-9.729859753659971,-10.358796685707098,3
2025-05-18 10:39:22,-9.183858796309204,-10.309644526571239,3
2025-05-18 10:39:23,-8.52743067922391,-10.364940476011883,3
2025-05-18 10:39:24,-8.030508459649186,-10.383372416370204,3
2025-05-18 10:39:25,-7.355675816003568,-10.291212212977237,3
2025-05-18 10:39:26,-6.674708330690315,-10.217484041360363,3
2025-05-18 10:39:27,-4.711558821552348,-10.65370827821285,2
2025-05-18 10:39:28,-5.705403260288239,-10.063883761029256,3
2025-05-18 10:39:29,-5.1962113563982255,-9.996299627743747,3
2025-05-18 10:39:30,-4.625671029884714,-9.971723551936485,3
2025-05-18 10:39:31,-4.061265546134789,-9.904139429928627,3
2025-05-18 10:39:32,-3.2576012163534194,-9.750539207563081,3
2025-05-18 10:39:33,-2.7238699439376615,-9.824267254778453,3
2025-05-18 10:39:34,-0.5889448523395294,-10.192907532869512,2
2025-05-18 10:39:35,-2.2269477244838813,-9.517066879275847,3
2025-05-18 10:39:36,-1.987688877529103,-9.295882606369087,3
2025-05-18 10:39:37,-1.8159132956969375,-9.154570424573315,3
2025-05-18 10:39:38,-1.7422951890565213,-9.031690269128354,3
2025-05-18 10:39:39,-1.8220481376927973,-8.73063391652421,3
2025-05-18 10:39:40,-1.6748119241940973,-8.45415359434791,3
2025-05-18 10:39:41,-1.2975191284571832,-8.054793129073165,2
2025-05-18 10:39:42,-1.4969015001715542,-8.361993481773979,3
2025-05-18 10:39:43,-1.2760471807850697,-8.288265393306697,3
2025-05-18 10:39:44,-1.0061141234176911,-8.146953230561992,3
2025-05-18 10:39:45,-0.674832643868512,-7.870472916012642,3
2025-05-18 10:39:46,-0.4662480084996139,-7.5264085276421495,3
2025-05-18 10:39:47,-0.2822027421961704,-7.360520342814766,3
2025-05-18 10:39:48,-0.04294389553974498,-7.010311949116442,3
2025-05-18 10:39:49,-1.0950693358746846,-5.898246687208504,2
2025-05-18 10:39:50,-0.2147194769177493,-6.561799450263879,3
2025-05-18 10:39:51,-0.25152853049331153,-6.512647397282147,3
2025-05-18 10:39:52,-0.1472362131147741,-6.346759208131829,3
2025-05-18 10:39:53,0.08588779073557824,-6.365191235988017,3
2025-05-18 10:39:54,0.17791042423748812,-6.371335242606243,3
2025-05-18 10:39:55,0.24539368815429227,-6.334471200998503,3
2025-05-18 10:39:56,-0.6625629585189359,-5.852166644492885,2
2025-05-18 10:39:57,0.3251466376111288,-6.051846882319739,3
2025-05-18 10:39:58,0.25766337388970334,-5.830662633411009,3
2025-05-18 10:39:59,0.20858463518007775,-5.664774448568472,3
2025-05-18 10:40:00,0.12269684462505352,-5.369862113740034,3
2025-05-18 10:40:01,0.18404526714206218,-5.265413998098474,3
2025-05-18 10:40:02,0.23925884654300056,-5.081093792398042,3
2025-05-18 10:40:03,-1.1226761251898936,-5.041157730141716,2
2025-05-18 10:40:04,0.049078737677976804,-4.921349610203623,3
2025-05-18 10:40:05,-0.08588779038091461,-4.823045496160897,3
2025-05-18 10:40:06,-0.1165620015923116,-4.743173406515893,3
2025-05-18 10:40:07,-0.15337105564407225,-4.761605426229246,3
2025-05-18 10:40:08,-0.17791042441743907,-4.773893440793878,3
2025-05-18 10:40:09,-0.16564073979065488,-4.755461421466471,3
2025-05-18 10:40:10,-0.1901801086462731,-4.669445322786232,3
2025-05-18 10:40:11,-1.499968921482674,-4.718597367219168,2
2025-05-18 10:40:12,-0.1226968442168365,-4.558853203495996,3
2025-05-18 10:40:13,-0.09815747515155267,-4.472837108747208,3
2025-05-18 10:40:14,-0.17177558180413088,-4.349956966137967,3
2025-05-18 10:40:15,-0.20858463475073444,-4.263940867871291,3
2025-05-18 10:40:16,-0.23925884612304849,-4.233220832829069,3
2025-05-18 10:40:17,-0.24539368834971778,-4.208644802327579,3
2025-05-18 10:40:18,-1.5551825014084377,-4.340740941784703,2
2025-05-18 10:40:19,-0.20244979279858133,-4.220932817847316,3
2025-05-18 10:40:20,-0.21471947732678145,-4.233220832497985,3
2025-05-18 10:40:21,-0.24539368850275847,-4.190212780120486,3
2025-05-18 10:40:22,-0.30060726881036165,-4.147204729884673,3
2025-05-18 10:40:23,-0.3926299016042389,-4.257796855245228,3
2025-05-18 10:40:24,-0.4171692701025682,-4.288516889367355,3
2025-05-18 10:40:25,-1.6472051343177916,-4.396037005647445,2
2025-05-18 10:40:26,-0.3803602167787441,-4.233220825477878,3
2025-05-18 10:40:27,-0.3926299015348969,-4.16563674831445,3
2025-05-18 10:40:28,-0.41103442784288696,-4.1533487343055695,3
2025-05-18 10:40:29,-0.4539783229236442,-4.128772706080544,3
